Date,AAPL
2021-07-13,141.96287536621094
2021-07-14,145.38421630859375
2021-07-15,144.73121643066406
2021-07-16,142.6939239501953
2021-07-19,138.8533477783203
2021-07-20,142.45997619628906
2021-07-21,141.72891235351562
2021-07-22,143.09361267089844
2021-07-23,144.80914306640625
2021-07-26,145.2283172607422
2021-07-27,143.0644073486328
2021-07-28,141.3195037841797
2021-07-29,141.96287536621094
2021-07-30,142.1772918701172
2021-08-02,141.84588623046875
2021-08-03,143.63946533203125
2021-08-04,143.2397918701172
2021-08-05,143.34703063964844
2021-08-06,142.66368103027344
2021-08-09,142.61488342285156
2021-08-10,142.1365509033203
2021-08-11,142.3903350830078
2021-08-12,145.34823608398438
2021-08-13,145.5532684326172
2021-08-16,147.5251922607422
2021-08-17,146.61734008789062
2021-08-18,142.87841796875
2021-08-19,143.2103729248047
2021-08-20,144.6649169921875
2021-08-23,146.1487274169922
2021-08-24,146.06088256835938
2021-08-25,144.83087158203125
2021-08-26,144.0303497314453
2021-08-27,145.06512451171875
2021-08-30,149.47763061523438
2021-08-31,148.2183380126953
2021-09-01,148.8821563720703
2021-09-02,149.9949951171875
2021-09-03,150.6295623779297
2021-09-07,152.96267700195312
2021-09-08,151.42031860351562
2021-09-09,150.40504455566406
2021-09-10,145.42636108398438
2021-09-13,145.9925537109375
2021-09-14,144.5965576171875
2021-09-15,145.4849090576172
2021-09-16,145.2506103515625
2021-09-17,142.58558654785156
2021-09-20,139.53977966308594
2021-09-21,140.01812744140625
2021-09-22,142.38055419921875
2021-09-23,143.33726501464844
2021-09-24,143.42514038085938
2021-09-27,141.91195678710938
2021-09-28,138.53427124023438
2021-09-29,139.4324188232422
2021-09-30,138.13404846191406
2021-10-01,139.25668334960938
2021-10-04,135.83021545410156
2021-10-05,137.75335693359375
2021-10-06,138.6221466064453
2021-10-07,139.88145446777344
2021-10-08,139.50071716308594
2021-10-11,139.41287231445312
2021-10-12,138.14378356933594
2021-10-13,137.55807495117188
2021-10-14,140.34024047851562
2021-10-15,141.3946075439453
2021-10-18,143.06398010253906
2021-10-19,145.2213134765625
2021-10-20,145.70945739746094
