Date,QCOM
2021-07-13,126.73429107666016
2021-07-14,129.04132080078125
2021-07-15,126.98565673828125
2021-07-16,125.41471099853516
2021-07-19,124.58882141113281
2021-07-20,125.27108001708984
2021-07-21,127.62301635742188
2021-07-22,127.86537170410156
2021-07-23,130.0557098388672
2021-07-26,128.8169403076172
2021-07-27,126.50984954833984
2021-07-28,127.86537170410156
2021-07-29,135.54058837890625
2021-07-30,134.47230529785156
2021-08-02,133.6284637451172
2021-08-03,132.8115692138672
2021-08-04,133.05397033691406
2021-08-05,131.80618286132812
2021-08-06,131.3124542236328
2021-08-09,131.88699340820312
2021-08-10,130.94439697265625
2021-08-11,131.67153930664062
2021-08-12,132.09341430664062
2021-08-13,133.43099975585938
2021-08-16,132.97314453125
2021-08-17,129.63380432128906
2021-08-18,127.6319808959961
2021-08-19,126.22261047363281
2021-08-20,127.55118560791016
2021-08-23,129.39141845703125
2021-08-24,129.67868041992188
2021-08-25,129.14906311035156
2021-08-26,127.81148529052734
2021-08-27,130.02877807617188
2021-08-30,131.00723266601562
2021-08-31,131.68051147460938
2021-09-01,132.0773162841797
2021-09-02,130.8778533935547
2021-09-03,130.43594360351562
2021-09-07,129.6422882080078
2021-09-08,128.5330047607422
2021-09-09,127.68527221679688
2021-09-10,128.67730712890625
2021-09-13,129.33566284179688
2021-09-14,127.28846740722656
2021-09-15,124.6730728149414
2021-09-16,124.8173828125
2021-09-17,120.48844146728516
2021-09-20,119.7308578491211
2021-09-21,118.81999206542969
2021-09-22,119.95633697509766
2021-09-23,120.76799774169922
2021-09-24,120.74095916748047
2021-09-27,120.38020324707031
2021-09-28,117.15155792236328
2021-09-29,116.5924072265625
2021-09-30,116.32182312011719
2021-10-01,116.0783462524414
2021-10-04,114.24755859375
2021-10-05,115.01415252685547
2021-10-06,115.49214935302734
2021-10-07,115.29373931884766
2021-10-08,114.13031005859375
2021-10-11,112.6783218383789
2021-10-12,110.88362884521484
2021-10-13,112.76852416992188
2021-10-14,116.03325653076172
2021-10-15,117.422119140625
2021-10-18,117.3499526977539
2021-10-19,119.49639129638672
2021-10-20,119.18975830078125
2021-10-21,119.99242401123047
2021-10-22,118.7027359008789
2021-10-25,118.9823226928711
2021-10-26,118.99134826660156
2021-10-27,118.323974609375
2021-10-28,120.5696029663086
2021-10-29,119.98340606689453
2021-11-01,121.57967376708984
2021-11-02,121.95846557617188
2021-11-03,124.88947296142578
2021-11-04,140.789306640625
2021-11-05,147.03016662597656
2021-11-08,149.5734100341797
2021-11-09,150.37606811523438
2021-11-10,144.1171417236328
2021-11-11,148.28372192382812
2021-11-12,148.752685546875
2021-11-15,151.9723663330078
2021-11-16,163.96707153320312
