Date,NFLX
2023-04-06,33.93299865722656
2023-04-10,33.89899826049805
2023-04-11,33.82099914550781
2023-04-12,33.10300064086914
2023-04-13,34.61899948120117
2023-04-14,33.862998962402344
2023-04-17,33.27199935913086
2023-04-18,33.369998931884766
2023-04-19,32.3120002746582
2023-04-20,32.53499984741211
2023-04-21,32.79800033569336
2023-04-24,32.902000427246094
2023-04-25,32.255001068115234
2023-04-26,32.1150016784668
2023-04-27,32.584999084472656
2023-04-28,32.99300003051758
2023-05-01,32.4119987487793
2023-05-02,31.7549991607666
2023-05-03,31.93000030517578
2023-05-04,32.077999114990234
2023-05-05,32.2760009765625
2023-05-08,33.12099838256836
2023-05-09,33.2140007019043
2023-05-10,33.54199981689453
2023-05-11,34.47600173950195
2023-05-12,33.98899841308594
2023-05-15,33.5890007019043
2023-05-16,33.375
2023-05-17,33.99599838256836
2023-05-18,37.12900161743164
2023-05-19,36.5359992980957
2023-05-22,36.30099868774414
2023-05-23,35.5989990234375
2023-05-24,36.48500061035156
2023-05-25,35.900001525878906
2023-05-26,37.88800048828125
2023-05-30,39.29800033569336
2023-05-31,39.52299880981445
2023-06-01,40.3129997253418
2023-06-02,40.047000885009766
2023-06-05,40.354000091552734
2023-06-06,39.92900085449219
2023-06-07,39.97700119018555
2023-06-08,40.9370002746582
2023-06-09,42.00199890136719
2023-06-12,42.39699935913086
2023-06-13,43.573001861572266
2023-06-14,44.08599853515625
2023-06-15,44.527000427246094
2023-06-16,43.19599914550781
2023-06-20,43.470001220703125
2023-06-21,42.44499969482422
2023-06-22,42.24800109863281
2023-06-23,42.402000427246094
2023-06-26,41.59400177001953
2023-06-27,41.70800018310547
2023-06-28,42.98400115966797
2023-06-29,42.82400131225586
2023-06-30,44.04899978637695
2023-07-03,44.14400100708008
2023-07-05,44.59000015258789
2023-07-06,43.88399887084961
2023-07-07,43.810001373291016
2023-07-10,44.17100143432617
2023-07-11,44.020999908447266
2023-07-12,44.404998779296875
2023-07-13,45.03799819946289
2023-07-14,44.191001892089844
2023-07-17,45.005001068115234
2023-07-18,47.47999954223633
2023-07-19,47.75899887084961
2023-07-20,43.742000579833984
2023-07-21,42.75
2023-07-24,42.83700180053711
2023-07-25,42.77000045776367
2023-07-26,42.266998291015625
2023-07-27,41.31700134277344
2023-07-28,42.577999114990234
2023-07-31,43.89699935913086
2023-08-01,43.86199951171875
2023-08-02,42.970001220703125
2023-08-03,43.099998474121094
2023-08-04,43.15999984741211
2023-08-07,44.07600021362305
2023-08-08,43.83000183105469
2023-08-09,42.88999938964844
2023-08-10,42.99800109863281
2023-08-11,42.16600036621094
2023-08-14,42.77799987792969
2023-08-15,42.369998931884766
2023-08-16,41.54499816894531
2023-08-17,40.29999923706055
2023-08-18,40.452999114990234
2023-08-21,40.82899856567383
2023-08-22,41.31700134277344
2023-08-23,42.755001068115234
2023-08-24,40.69300079345703
2023-08-25,41.60300064086914
2023-08-28,41.805999755859375
2023-08-29,42.999000549316406
2023-08-30,43.46699905395508
2023-08-31,43.36800003051758
2023-09-01,43.987998962402344
2023-09-05,44.86800003051758
2023-09-06,44.57600021362305
2023-09-07,44.31399917602539
2023-09-08,44.279998779296875
2023-09-11,44.5359992980957
2023-09-12,43.46900177001953
2023-09-13,41.2239990234375
2023-09-14,40.04899978637695
2023-09-15,39.694000244140625
2023-09-18,39.439998626708984
2023-09-19,39.619998931884766
2023-09-20,38.630001068115234
2023-09-21,38.415000915527344
2023-09-22,37.98099899291992
2023-09-25,38.47999954223633
2023-09-26,37.92499923706055
2023-09-27,37.75899887084961
2023-09-28,37.63600158691406
2023-09-29,37.7599983215332
2023-10-02,38.03300094604492
2023-10-03,37.67499923706055
2023-10-04,37.689998626708984
2023-10-05,37.25899887084961
2023-10-06,38.1510009765625
