Date,MSFT
2021-07-14,271.12396240234375
2021-07-15,269.7035827636719
2021-07-16,269.43487548828125
2021-07-19,265.8456115722656
2021-07-20,268.0625
2021-07-21,270.0586242675781
2021-07-22,274.6075744628906
2021-07-23,277.9953918457031
2021-07-26,277.4003601074219
2021-07-27,274.9914855957031
2021-07-28,274.68438720703125
2021-07-29,274.9530944824219
2021-07-30,273.4272155761719
2021-08-02,273.34088134765625
2021-08-03,275.548095703125
2021-08-04,274.96270751953125
2021-08-05,277.85137939453125
2021-08-06,277.7938232421875
2021-08-09,276.7093200683594
2021-08-10,274.8955078125
2021-08-11,275.3849792480469
2021-08-12,278.1297302246094
2021-08-13,281.0472106933594
2021-08-16,282.7266845703125
2021-08-17,281.2678527832031
2021-08-18,279.5467834472656
2021-08-19,285.35443115234375
2021-08-20,292.6524963378906
2021-08-23,292.9312744140625
2021-08-24,290.97943115234375
2021-08-25,290.39288330078125
2021-08-26,287.585205078125
2021-08-27,288.19097900390625
2021-08-30,291.9120788574219
2021-08-31,290.267822265625
2021-09-01,290.21978759765625
2021-09-02,289.56591796875
2021-09-03,289.55633544921875
2021-09-07,288.6332702636719
2021-09-08,288.6620788574219
2021-09-09,285.8160095214844
2021-09-10,284.3351745605469
2021-09-13,285.56597900390625
2021-09-14,288.2582702636719
2021-09-15,293.0948486328125
2021-09-16,293.4794006347656
2021-09-17,288.3352355957031
2021-09-20,282.9794006347656
2021-09-21,283.460205078125
2021-09-22,287.0948486328125
2021-09-23,288.0371398925781
2021-09-24,287.835205078125
2021-09-27,282.8544616699219
2021-09-28,272.61407470703125
2021-09-29,273.07562255859375
2021-09-30,271.07562255859375
2021-10-01,277.9795227050781
2021-10-04,272.21990966796875
2021-10-05,277.65264892578125
2021-10-06,281.8352355957031
2021-10-07,283.50823974609375
2021-10-08,283.50823974609375
2021-10-11,282.9121398925781
2021-10-12,281.61407470703125
2021-10-13,284.912109375
2021-10-14,291.10443115234375
2021-10-15,292.5081787109375
2021-10-18,295.4697570800781
2021-10-19,296.3736267089844
2021-10-20,295.5851745605469
2021-10-21,298.80633544921875
2021-10-22,297.267822265625
2021-10-25,296.2774963378906
2021-10-26,298.18133544921875
2021-10-27,310.7388610839844
2021-10-28,311.87353515625
2021-10-29,318.8638916015625
2021-11-01,316.70037841796875
2021-11-02,320.3158264160156
2021-11-03,321.15234375
2021-11-04,323.49847412109375
2021-11-05,323.1331787109375
2021-11-08,324.0273742675781
2021-11-09,323.0273132324219
2021-11-10,318.0754089355469
2021-11-11,319.6427307128906
2021-11-12,323.7677001953125
2021-11-15,323.1427001953125
2021-11-16,326.45037841796875
2021-11-17,326.67193603515625
2021-11-18,328.7430419921875
2021-11-19,330.5155029296875
2021-11-22,327.3558654785156
2021-11-23,325.2848205566406
2021-11-24,325.5064392089844
2021-11-26,317.5783996582031
2021-11-29,324.27337646484375
2021-11-30,318.455078125
2021-12-01,317.9637451171875
2021-12-02,317.3953857421875
2021-12-03,311.1532897949219
2021-12-06,314.2165832519531
2021-12-07,322.62615966796875
2021-12-08,322.6742858886719
2021-12-09,320.8729553222656
2021-12-10,329.9664001464844
2021-12-13,326.9416198730469
2021-12-14,316.28765869140625
2021-12-15,322.3660583496094
2021-12-16,312.9739685058594
2021-12-17,311.9142761230469
2021-12-20,308.1671142578125
2021-12-21,315.2762145996094
2021-12-22,320.9693298339844
2021-12-23,322.4045715332031
2021-12-27,329.8797302246094
2021-12-28,328.7237854003906
2021-12-29,329.3980712890625
2021-12-30,326.8646240234375
2021-12-31,323.9747314453125
2022-01-03,322.4623718261719
2022-01-04,316.93310546875
2022-01-05,304.7666931152344
2022-01-06,302.3584289550781
2022-01-07,302.5125427246094
2022-01-10,302.7341003417969
2022-01-11,303.4180908203125
2022-01-12,306.5872802734375
2022-01-13,293.6116943359375
2022-01-14,298.8135986328125
2022-01-18,291.5406799316406
2022-01-19,292.19561767578125
2022-01-20,290.52923583984375
2022-01-21,285.1636962890625
2022-01-24,285.4911193847656
2022-01-25,277.900390625
2022-01-26,285.81866455078125
2022-01-27,288.8338317871094
2022-01-28,296.9447021484375
2022-01-31,299.5649108886719
2022-02-01,297.4263610839844
2022-02-02,301.9538269042969
2022-02-03,290.1920166015625
2022-02-04,294.7099914550781
2022-02-07,289.903076171875
