Date,GOOGL
2023-07-11,116.11043548583984
2023-07-12,117.88469696044922
2023-07-13,123.44538116455078
2023-07-14,124.31764221191406
2023-07-17,123.5544204711914
2023-07-18,122.67223358154297
2023-07-19,120.95743560791016
2023-07-20,118.15230560302734
2023-07-21,118.96510314941406
2023-07-24,120.46184539794922
2023-07-25,121.13585662841797
2023-07-26,128.13380432128906
2023-07-27,128.26268005371094
2023-07-28,131.4147186279297
2023-07-31,131.55348205566406
2023-08-01,130.39378356933594
2023-08-02,127.25161743164062
2023-08-03,127.32100677490234
2023-08-04,126.98399353027344
2023-08-07,130.3739471435547
2023-08-08,130.24508666992188
2023-08-09,128.52037048339844
2023-08-10,128.55010986328125
2023-08-11,128.42124938964844
2023-08-14,130.1757049560547
2023-08-15,128.63934326171875
2023-08-16,127.56881713867188
2023-08-17,128.77809143066406
2023-08-18,126.33971405029297
2023-08-21,127.24171447753906
2023-08-22,127.94547271728516
2023-08-23,131.20657348632812
2023-08-24,128.63934326171875
2023-08-25,128.73846435546875
2023-08-28,129.85850524902344
2023-08-29,133.38722229003906
2023-08-30,134.6857147216797
2023-08-31,134.97315979003906
2023-09-01,134.46763610839844
2023-09-05,134.57667541503906
2023-09-06,133.2781982421875
2023-09-07,134.0711212158203
2023-09-08,135.18130493164062
2023-09-11,135.71656799316406
2023-09-12,134.15045166015625
2023-09-13,135.50845336914062
2023-09-14,136.88621520996094
2023-09-15,136.19236755371094
2023-09-18,136.99522399902344
2023-09-19,136.82672119140625
2023-09-20,132.5645294189453
2023-09-21,129.29348754882812
2023-09-22,129.10520935058594
2023-09-25,129.95765686035156
2023-09-26,127.4399642944336
2023-09-27,129.39263916015625
2023-09-28,131.1470947265625
2023-09-29,129.70982360839844
2023-10-02,132.99075317382812
2023-10-03,131.2660369873047
2023-10-04,134.0513458251953
2023-10-05,133.88284301757812
2023-10-06,136.3707733154297
2023-10-09,137.203369140625
2023-10-10,136.84652709960938
2023-10-11,139.3146514892578
2023-10-12,137.74856567382812
2023-10-13,136.15272521972656
2023-10-16,137.87742614746094
2023-10-17,138.491943359375
2023-10-18,136.74745178222656
2023-10-19,136.53927612304688
2023-10-20,134.40818786621094
2023-10-23,135.3002471923828
2023-10-24,137.58995056152344
2023-10-25,124.50598907470703
2023-10-26,121.20523071289062
2023-10-27,121.09619903564453
2023-10-30,123.36607360839844
2023-10-31,122.98943328857422
2023-11-01,125.33858489990234
2023-11-02,126.36945343017578
2023-11-03,127.96530151367188
2023-11-06,129.10520935058594
2023-11-07,129.8188934326172
