Date,TSLA
2021-07-12,228.56666564941406
2021-07-13,222.84666442871094
2021-07-14,217.7933349609375
2021-07-15,216.86666870117188
2021-07-16,214.74000549316406
2021-07-19,215.4066619873047
2021-07-20,220.1666717529297
2021-07-21,218.42999267578125
2021-07-22,216.4199981689453
2021-07-23,214.4600067138672
2021-07-26,219.2066650390625
2021-07-27,214.92666625976562
2021-07-28,215.66000366210938
2021-07-29,225.78334045410156
2021-07-30,229.06666564941406
2021-08-02,236.55667114257812
2021-08-03,236.5800018310547
2021-08-04,236.97332763671875
2021-08-05,238.2100067138672
2021-08-06,233.03334045410156
2021-08-09,237.9199981689453
2021-08-10,236.663330078125
2021-08-11,235.94000244140625
2021-08-12,240.75
2021-08-13,239.05667114257812
2021-08-16,228.72332763671875
2021-08-17,221.90333557128906
2021-08-18,229.663330078125
2021-08-19,224.49000549316406
2021-08-20,226.75332641601562
2021-08-23,235.43333435058594
2021-08-24,236.163330078125
2021-08-25,237.06666564941406
2021-08-26,233.72000122070312
2021-08-27,237.30667114257812
2021-08-30,243.6366729736328
2021-08-31,245.24000549316406
2021-09-01,244.69667053222656
2021-09-02,244.1300048828125
2021-09-03,244.52333068847656
2021-09-07,250.97332763671875
2021-09-08,251.2899932861328
2021-09-09,251.6199951171875
2021-09-10,245.42333984375
2021-09-13,247.6666717529297
2021-09-14,248.163330078125
2021-09-15,251.94332885742188
2021-09-16,252.3300018310547
2021-09-17,253.163330078125
2021-09-20,243.38999938964844
2021-09-21,246.4600067138672
2021-09-22,250.64666748046875
2021-09-23,251.2133331298828
2021-09-24,258.1300048828125
2021-09-27,263.78668212890625
2021-09-28,259.1866760253906
2021-09-29,260.4366760253906
2021-09-30,258.49334716796875
2021-10-01,258.40667724609375
2021-10-04,260.510009765625
2021-10-05,260.1966552734375
2021-10-06,260.9166564941406
2021-10-07,264.53668212890625
2021-10-08,261.8299865722656
2021-10-11,263.9800109863281
2021-10-12,268.5733337402344
2021-10-13,270.3599853515625
2021-10-14,272.7733459472656
2021-10-15,281.010009765625
2021-10-18,290.03668212890625
2021-10-19,288.0899963378906
2021-10-20,288.6000061035156
2021-10-21,298.0
2021-10-22,303.2266540527344
2021-10-25,341.6199951171875
2021-10-26,339.4766540527344
2021-10-27,345.9533386230469
2021-10-28,359.0133361816406
2021-10-29,371.3333435058594
2021-11-01,402.86334228515625
2021-11-02,390.6666564941406
2021-11-03,404.6199951171875
2021-11-04,409.9700012207031
2021-11-05,407.36334228515625
2021-11-08,387.64666748046875
2021-11-09,341.1666564941406
2021-11-10,355.98333740234375
2021-11-11,354.5033264160156
2021-11-12,344.47332763671875
2021-11-15,337.7966613769531
2021-11-16,351.57666015625
2021-11-17,363.0033264160156
2021-11-18,365.4599914550781
2021-11-19,379.0199890136719
2021-11-22,385.6233215332031
2021-11-23,369.6766662597656
2021-11-24,372.0
2021-11-26,360.6400146484375
2021-11-29,378.9966735839844
2021-11-30,381.586669921875
2021-12-01,365.0
2021-12-02,361.5333251953125
2021-12-03,338.3233337402344
2021-12-06,336.336669921875
2021-12-07,350.5833435058594
2021-12-08,356.32000732421875
2021-12-09,334.6000061035156
2021-12-10,339.010009765625
2021-12-13,322.13665771484375
2021-12-14,319.5033264160156
2021-12-15,325.3299865722656
2021-12-16,308.97332763671875
2021-12-17,310.8566589355469
2021-12-20,299.9800109863281
2021-12-21,312.84332275390625
2021-12-22,336.2900085449219
2021-12-23,355.6666564941406
2021-12-27,364.64666748046875
2021-12-28,362.8233337402344
2021-12-29,362.0633239746094
2021-12-30,356.7799987792969
2021-12-31,352.260009765625
2022-01-03,399.9266662597656
2022-01-04,383.1966552734375
2022-01-05,362.7066650390625
2022-01-06,354.8999938964844
2022-01-07,342.32000732421875
2022-01-10,352.7066650390625
2022-01-11,354.79998779296875
2022-01-12,368.739990234375
2022-01-13,343.85333251953125
2022-01-14,349.8699951171875
2022-01-18,343.5033264160156
2022-01-19,331.8833312988281
2022-01-20,332.0899963378906
2022-01-21,314.6333312988281
2022-01-24,310.0
2022-01-25,306.1333312988281
2022-01-26,312.4700012207031
2022-01-27,276.3666687011719
2022-01-28,282.1166687011719
2022-01-31,312.239990234375
2022-02-01,310.4166564941406
2022-02-02,301.88665771484375
2022-02-03,297.0466613769531
2022-02-04,307.7733459472656
2022-02-07,302.4466552734375
2022-02-08,307.3333435058594
2022-02-09,310.6666564941406
2022-02-10,301.51666259765625
2022-02-11,286.6666564941406
2022-02-14,291.9200134277344
2022-02-15,307.4766540527344
2022-02-16,307.7966613769531
2022-02-17,292.1166687011719
