Date,AMZN
2021-07-15,181.55999755859375
2021-07-16,178.68150329589844
2021-07-19,177.47950744628906
2021-07-20,178.6595001220703
2021-07-21,179.25999450683594
2021-07-22,181.90150451660156
2021-07-23,182.83200073242188
2021-07-26,184.99099731445312
2021-07-27,181.3195037841797
2021-07-28,181.51600646972656
2021-07-29,179.99600219726562
2021-07-30,166.37950134277344
2021-08-02,166.57400512695312
2021-08-03,168.31199645996094
2021-08-04,167.73599243164062
2021-08-05,168.79949951171875
2021-08-06,167.2469940185547
2021-08-09,167.093505859375
2021-08-10,166.03399658203125
2021-08-11,164.60549926757812
2021-08-12,165.1750030517578
2021-08-13,164.69850158691406
2021-08-16,164.94949340820312
2021-08-17,162.09800720214844
2021-08-18,160.06100463867188
2021-08-19,159.3874969482422
2021-08-20,159.99749755859375
2021-08-23,163.2935028076172
2021-08-24,165.28900146484375
2021-08-25,164.95899963378906
2021-08-26,165.8000030517578
2021-08-27,167.48150634765625
2021-08-30,171.07850646972656
2021-08-31,173.5395050048828
2021-09-01,173.9499969482422
2021-09-02,173.156005859375
2021-09-03,173.90249633789062
2021-09-07,175.46449279785156
2021-09-08,176.27499389648438
2021-09-09,174.20799255371094
2021-09-10,173.45750427246094
2021-09-13,172.85850524902344
2021-09-14,172.5
2021-09-15,173.7895050048828
2021-09-16,174.41200256347656
2021-09-17,173.12600708007812
2021-09-20,167.7864990234375
2021-09-21,167.18150329589844
2021-09-22,169.00250244140625
2021-09-23,170.8000030517578
2021-09-24,171.2760009765625
2021-09-27,170.2899932861328
2021-09-28,165.79800415039062
2021-09-29,165.05599975585938
2021-09-30,164.2519989013672
2021-10-01,164.16299438476562
2021-10-04,159.48899841308594
2021-10-05,161.0500030517578
2021-10-06,163.10049438476562
2021-10-07,165.1215057373047
2021-10-08,164.43099975585938
2021-10-11,162.31500244140625
2021-10-12,162.3665008544922
2021-10-13,164.21400451660156
2021-10-14,164.9929962158203
2021-10-15,170.4510040283203
2021-10-18,172.33700561523438
2021-10-19,172.20750427246094
2021-10-20,170.7530059814453
2021-10-21,171.75050354003906
2021-10-22,166.77749633789062
2021-10-25,166.01849365234375
2021-10-26,168.80349731445312
2021-10-27,169.62449645996094
2021-10-28,172.32850646972656
2021-10-29,168.6215057373047
2021-11-01,165.90550231933594
2021-11-02,165.6374969482422
2021-11-03,169.1999969482422
2021-11-04,173.85000610351562
2021-11-05,175.94949340820312
2021-11-08,174.44900512695312
2021-11-09,178.81149291992188
2021-11-10,174.1024932861328
2021-11-11,173.625
2021-11-12,176.25750732421875
2021-11-15,177.28399658203125
2021-11-16,177.03500366210938
2021-11-17,177.4499969482422
2021-11-18,184.80299377441406
2021-11-19,183.82850646972656
2021-11-22,178.6284942626953
2021-11-23,179.0019989013672
2021-11-24,179.02049255371094
2021-11-26,175.22799682617188
2021-11-29,178.07850646972656
2021-11-30,175.35350036621094
