Date,SPY
2021-10-19,422.5313720703125
2021-10-20,424.1909484863281
2021-10-21,425.2973327636719
2021-10-22,424.8566589355469
2021-10-25,427.13507080078125
2021-10-26,427.51947021484375
2021-10-27,425.62554931640625
2021-10-28,429.7322692871094
2021-10-29,430.6042785644531
2021-11-01,431.34503173828125
2021-11-02,433.0890197753906
2021-11-03,435.7331237792969
2021-11-04,437.7865295410156
2021-11-05,439.30535888671875
2021-11-08,439.6805114746094
2021-11-09,438.2271423339844
2021-11-10,434.70166015625
2021-11-11,434.84234619140625
2021-11-12,438.1240234375
2021-11-15,438.2740478515625
2021-11-16,440.0086669921875
2021-11-17,438.93975830078125
2021-11-18,440.43060302734375
2021-11-19,439.64312744140625
2021-11-22,438.4053039550781
2021-11-23,438.9866943359375
2021-11-24,440.15863037109375
2021-11-26,430.34173583984375
2021-11-29,435.6206359863281
2021-11-30,427.14447021484375
2021-12-01,422.40008544921875
2021-12-02,428.8697204589844
2021-12-03,425.137939453125
2021-12-06,430.1729736328125
2021-12-07,439.0710144042969
2021-12-08,440.2337341308594
2021-12-09,437.2613830566406
2021-12-10,441.3776550292969
2021-12-13,437.4676818847656
2021-12-14,434.4578857421875
2021-12-15,441.2463073730469
2021-12-16,437.3551940917969
2021-12-17,432.7004699707031
2021-12-20,428.099365234375
2021-12-21,435.7020263671875
2021-12-22,440.0584411621094
2021-12-23,442.7965087890625
2021-12-27,449.0630187988281
2021-12-28,448.6960754394531
2021-12-29,449.27008056640625
2021-12-30,448.02801513671875
2021-12-31,446.8989562988281
2022-01-03,449.4864501953125
2022-01-04,449.3359069824219
2022-01-05,440.7077331542969
2022-01-06,440.2936706542969
2022-01-07,438.55291748046875
2022-01-10,438.0072937011719
2022-01-11,441.9967041015625
2022-01-12,443.19171142578125
2022-01-13,437.085205078125
2022-01-14,437.2639465332031
2022-01-18,429.5201721191406
2022-01-19,425.0601501464844
2022-01-20,420.35565185546875
2022-01-21,412.103759765625
2022-01-24,413.85382080078125
2022-01-25,408.8011474609375
2022-01-26,407.7755432128906
2022-01-27,405.7619323730469
2022-01-28,415.83917236328125
2022-01-31,423.3289489746094
2022-02-01,426.1893310546875
2022-02-02,430.329345703125
2022-02-03,420.21441650390625
2022-02-04,422.19036865234375
2022-02-07,420.83551025390625
2022-02-08,424.2980651855469
2022-02-09,430.5081481933594
2022-02-10,422.77374267578125
2022-02-11,414.4371643066406
2022-02-14,413.082275390625
2022-02-15,419.74407958984375
2022-02-16,420.21441650390625
2022-02-17,411.2381286621094
2022-02-18,408.5753479003906
2022-02-22,404.1905517578125
2022-02-23,397.0207824707031
2022-02-24,402.99554443359375
2022-02-25,411.8873291015625
2022-02-28,410.83355712890625
2022-03-01,404.5764465332031
2022-03-02,412.01910400390625
2022-03-03,409.9678955078125
2022-03-04,406.6369323730469
2022-03-07,394.6496887207031
2022-03-08,391.65765380859375
2022-03-09,402.1581726074219
2022-03-10,400.34228515625
2022-03-11,395.2518310546875
2022-03-14,392.36328125
2022-03-15,400.991455078125
2022-03-16,409.8830871582031
